year,season,crop,cultivated_area_ha,harvested_area_ha,production_mt,yield_mt_ha,source
2025,A,Banana,268552,109994,1278234,11.6,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Cooking banana,99689,41318,610244,14.8,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Cooking banana,104232,41198,590252,14.3,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Dessert banana,38127,15783,128283,8.1,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Dessert banana,40540,15455,125014,8.1,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Banana for beer,129860,54909,592616,10.8,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Banana for beer,123780,53341,562968,10.6,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Legumes and Pulses,375277,375178,254342,,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Legumes and Pulses,377222,377163,256774,,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Beans,327907,327821,229396,0.7,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Beans,327147,327090,230456,0.7,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Bush bean,203760,203714,124303,0.6,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Bush bean,202513,202492,126606,0.6,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Climbing bean,124147,124108,105092,0.8,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Climbing bean,124635,124598,103851,0.8,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Pea,9563,9563,5894,0.6,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Pea,9882,9880,5984,0.6,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Groundnut,9262,9248,3796,0.4,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Groundnut,10832,10832,4678,0.4,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Soybean,28546,28546,15257,0.5,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Soybean,29361,29361,15657,0.5,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Vegetables and Fruits,27427,26002,188914,,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Vegetables and Fruits,34801,25519,178247,,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Vegetables,19244,19241,152108,7.9,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Vegetables,20780,19815,149806,7.6,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Fruits,8183,6761,36806,5.4,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Fruits,14021,5705,28440,5.0,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Fodder crops,8495,8497,145904,17.2,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Fodder crops,9813,8298,147011,17.7,NISR SAS 2026 Season A Final Report - Table 6 comparator
2026,A,Other crops,71490,10674,69980,6.6,NISR SAS 2026 Season A Final Report - Table 6
2025,A,Other crops,64132,8832,65658,7.4,NISR SAS 2026 Season A Final Report - Table 6 comparator
